index,id,x,y,w,h,r
66,-1,384.75,751.75,166.935724870338,74.4147320326006,90.348481106446
67,-1,70,863.75,166.935724870338,74.4147320326006,229.37342553717
68,-1,210,960.75,46.6215732279575,74.4147320326006,199.5823660163
69,-1,384.25,865.75,46.6215732279575,74.4147320326006,93.1857248703384
70,-1,373.25,909.75,46.6215732279575,74.4147320326006,114.465053099531
71,-1,388.75,731.75,46.6215732279575,74.4147320326006,114.465053099531
72,-1,366.75,901.75,46.6215732279575,74.4147320326006,114.465053099531
73,-1,381,739.75,46.6215732279575,74.4147320326006,114.465053099531
74,-1,303.75,445.75,46.6215732279575,74.4147320326006,114.465053099531
75,-1,317,457.25,46.6215732279575,74.4147320326006,64.8132872314152
76,-1,447,941.75,200,74.4147320326006,50.6270684119536
77,1,216,780.75,1,159.342368486046,50.6270684119536
78,1,241,781.75,63.921647320326,1,50.6270684119536
79,1,173,778.75,43.4761052111632,1,50.6270684119536
80,1,173,683.75,1,97.2193751543591,50.6270684119536
81,1,97,680.75,140.199246727587,1,50.6270684119536
82,1,3,728.75,140.199246727587,1,50.6270684119536
83,1,141,760.75,1,61.8328599654236,50.6270684119536
84,1,183,579.75,1,61.8328599654236,50.6270684119536
85,1,316.75,548.75,1,89.3557051123734,50.6270684119536
86,-1,691,990.75,160.64478883675,89.3557051123734,117.302296863423
87,-1,401,860.75,160.64478883675,89.3557051123734,250.652753766362
88,-1,543,931.75,160.64478883675,89.3557051123734,203.838231662139
89,-1,473,921.75,160.64478883675,89.3557051123734,203.838231662139
90,-1,586,970.75,160.64478883675,89.3557051123734,203.838231662139
91,-1,830.75,989.75,160.64478883675,89.3557051123734,158.442331439862
92,-1,943.75,916.75,190.526734996295,89.3557051123734,141.418868856508
93,1,598.75,553.5,163.003889849346,1,141.418868856508
94,1,598,706.75,163.003889849346,1,141.418868856508
95,1,761,554.75,1,150.692331439862,141.418868856508
96,1,597,615.75,1,91.7148061249691,141.418868856508
97,1,597,554.75,1,20.941775747098,141.418868856508
